id,calories,proteins,fat,carbohydrate,name,kategori,protein_density,fat_ratio,pct_cal_from_fat,pct_cal_from_protein,pct_cal_from_carb,risiko_kolesterol,is_recommended
979,19.0,0.6,0.1,3.9,Pepare Ular Segar,Rendah Lemak & Karbo,0.03,0.005,4.5,12.0,78.0,0,0
980,275.0,11.6,11.6,30.2,Pepaya Lodeh,Sedang,0.042,0.042,37.83,16.81,43.77,1,0
981,26.0,2.1,0.1,4.9,Pepaya Muda,Rendah Lemak & Karbo,0.0778,0.0037,3.33,31.11,72.59,0,0
982,46.0,0.5,12.0,12.2,Pepaya Segar,Sedang,0.0106,0.2553,229.79,4.26,103.83,1,0
983,76.0,5.2,1.8,10.6,Pepea Oncom Ampas Tahu,Rendah Lemak & Karbo,0.0675,0.0234,21.04,27.01,55.06,0,1
984,400.0,0.0,0.0,95.0,Permen,Rendah Lemak,0.0,0.0,0.0,0.0,94.76,0,0
985,142.0,10.4,2.0,22.0,Pete Segar,"Tinggi Protein, Rendah Lemak",0.0727,0.014,12.59,29.09,61.54,0,1
986,50.0,3.7,1.0,9.0,Peterseli,Rendah Lemak & Karbo,0.0725,0.0196,17.65,29.02,70.59,0,0
987,161.0,20.0,0.2,24.0,Petis Ikan,"Tinggi Protein, Rendah Lemak",0.1235,0.0012,1.11,49.38,59.26,0,1
988,220.0,15.0,0.1,40.0,Petis Udang,"Tinggi Protein, Rendah Lemak",0.0679,0.0005,0.41,27.15,72.4,0,1
989,345.0,23.8,1.4,59.3,Petis Udang Kering,"Tinggi Protein, Rendah Lemak",0.0688,0.004,3.64,27.51,68.55,0,0
990,220.0,15.0,0.9,38.0,Petis Udang Pasta,"Tinggi Protein, Rendah Lemak",0.0679,0.0041,3.67,27.15,68.78,0,1
991,514.0,1.0,27.8,400.0,Pilus,Tinggi Lemak,0.0019,0.054,48.58,0.78,310.68,2,0
992,107.0,15.9,0.6,0.4,Pinda Masakan,"Tinggi Protein, Rendah Lemak",0.1472,0.0056,5.0,58.89,1.48,0,1
993,157.0,28.0,4.2,0.0,Pindang Ikan Banjar,Sedang,0.1772,0.0266,23.92,70.89,0.0,0,1
994,170.0,31.0,4.2,0.0,Pindang Ikan Benggol,Sedang,0.1813,0.0246,22.11,72.51,0.0,0,1
